hora	hr	idade	h	ctr	itgu
3	243	31	59.064236	417.6343	65.0071
4	244	31	59.917792	416.9881	65.6246
5	245	31	56.279102	419.0632	62.9425
6	246	31	57.896344	417.0678	64.1507
7	247	31	54.770958	422.8266	61.7912
8	248	31	51.3304	440.8538	59.0752
9	249	31	56.771924	480.4888	63.3135
10	250	31	62.842956	607.851	67.9859
11	251	31	69.042732	657.4753	73.2346
12	252	31	73.972624	668.2381	77.1974
13	253	31	77.156948	663.5832	79.4455
14	254	31	79.446334	758.2341	81.2152
15	255	31	83.29277	699.9287	84.2496
16	256	31	78.87451	513.6812	80.831
17	257	31	65.274462	456.8352	70.3164
18	258	31	58.790864	476.7305	64.8081
19	259	31	61.570146	446.2339	66.7997
20	260	31	62.34261	431.5636	67.3403
21	261	31	58.892856	425.1153	64.8825
22	262	31	57.219184	424.1955	63.6479
23	263	31	56.264472	422.7394	62.9312
0	264	32	56.404502	420.4281	63.0371
1	265	32	58.903724	414.8337	64.8902
2	266	32	57.202046	411.7047	63.6354
3	267	32	59.254008	405.7816	65.1452
4	268	32	54.86459	411.3847	61.8633
5	269	32	54.757582	414.3715	61.7808
6	270	32	58.782504	411.2102	64.8018
7	271	32	52.245402	420.7898	59.81
8	272	32	57.056164	429.7704	63.5265
9	273	32	56.435016	505.2439	63.0599
10	274	32	67.59478	544.6869	71.0698
11	275	32	66.356664	584.6715	70.9706
12	276	32	70.063488	629.1389	73.9639
13	277	32	76.28709	709.9832	78.5537
14	278	32	78.562682	555.3143	80.4281
15	279	32	72.1677	524.6088	74.9612
16	280	32	68.707496	489.0178	72.1013
17	281	32	65.916928	553.8769	69.7724
18	282	32	66.214126	553.9244	69.9667
19	283	32	62.134446	430.0886	67.1952
20	284	32	56.369808	431.733	63.0108
21	285	32	62.47846	420.9694	67.4348
22	286	32	63.148096	420.4846	67.898
23	287	32	59.070506	422.7681	65.0119
0	288	33	59.995958	413.9874	65.6807
1	289	33	53.942482	415.7596	61.1487
2	290	33	58.286756	414.5579	64.4387
3	291	33	55.46024	417.5233	62.3201
4	292	33	53.298344	419.2771	60.6441
5	293	33	51.80483	417.5298	59.4571
6	294	33	52.199422	417.1989	59.7733
7	295	33	54.859992	419.9896	61.8599
8	296	33	52.44855	427.5103	59.9718
9	297	33	52.824332	445.4947	60.27
10	298	33	60.391804	603.1781	65.9644
11	299	33	63.342048	663.8731	68.0313
12	300	33	72.7738	706.7314	74.5882
13	301	33	73.914104	676.8459	76.5575
14	302	33	75.764172	698.4195	78.7411
15	303	33	78.525062	674.6041	81.2487
16	304	33	78.084908	575.6143	80.8824
17	305	33	77.795234	526.4381	80.0078
18	306	33	71.255624	445.1642	74.3494
19	307	33	64.660838	457.4005	68.9292
20	308	33	65.075076	436.657	69.2079
21	309	33	62.4074	425.4539	67.3853
22	310	33	59.168736	423.4303	65.0831
23	311	33	63.989112	420.6192	68.4739
0	312	34	62.097244	423.4608	67.1692
1	313	34	59.264458	423.3575	65.1527
2	314	34	62.055862	422.7527	67.1402
3	315	34	59.808276	422.9461	65.5458
4	316	34	59.519856	423.1639	65.3377
5	317	34	62.14824	421.2099	67.2049
6	318	34	58.716878	414.9572	64.7539
7	319	34	56.238138	417.7893	62.9113
8	320	34	54.159842	422.9184	61.3181
9	321	34	53.191754	432.4511	60.5602
10	322	34	53.450078	504.2825	60.7635
11	323	34	60.100876	574.0978	65.7562
12	324	34	64.659166	674.4507	68.9281
13	325	34	74.114326	668.0218	75.6542
14	326	34	74.67779	718.6721	77.2253
15	327	34	77.24849	694.6151	79.728
16	328	34	75.8252	617.1018	78.9325
17	329	34	78.86406	560.3337	80.3817
18	330	34	69.841112	428.0905	73.0524
19	331	34	62.218046	431.7455	67.2534
20	332	34	59.21597	428.2079	65.1175
21	333	34	58.866104	420.718	64.8629
22	334	34	61.056424	419.0705	66.4372
23	335	34	59.829594	420.7222	65.561
0	336	35	59.750174	422.9899	65.5039
1	337	35	59.686638	420.83	65.458
2	338	35	56.052546	422.9071	62.7709
3	339	35	55.574772	421.8197	62.4076
4	340	35	54.79144	418.7899	61.8071
5	341	35	55.315612	420.5617	62.2096
6	342	35	53.668274	421.8961	60.9345
7	343	35	52.981082	427.5265	60.3939
8	344	35	54.42151	451.0007	61.521
9	345	35	59.044172	486.4354	64.9927
10	346	35	63.532238	685.1805	68.1618
11	347	35	71.205882	655.0858	73.5617
12	348	35	76.457216	595.2235	78.1205
13	349	35	73.804588	600.7209	76.3305
14	350	35	77.671088	599.5847	79.2048
15	351	35	75.535944	591.1245	78.169
16	352	35	78.298088	542.6584	79.7084
17	353	35	73.239452	524.3545	76.2382
18	354	35	73.406652	551.7202	75.9528
19	355	35	73.37572	464.6268	75.432
20	356	35	68.77354	430.5292	72.0874
21	357	35	64.981862	425.8369	69.1454
22	358	35	61.159252	424.8897	66.5101
23	359	35	60.45952	428.3728	66.0127
0	360	36	60.729548	428.1713	66.2052
1	361	36	60.875012	426.5805	66.3087
2	362	36	59.948306	425.0543	65.6464
3	363	36	62.193802	423.3903	67.2366
4	364	36	57.59622	422.4306	63.9284
5	365	36	58.303476	420.4151	64.4508
6	366	36	59.524036	419.4839	65.3407
7	367	36	58.084862	422.8849	64.2901
8	368	36	56.540352	446.6483	63.1393
9	369	36	59.7322	476.8022	65.4908
10	370	36	62.17123	570.5788	67.2207
11	371	36	65.648154	590.6142	69.6974
12	372	36	68.444574	627.2425	72.1199
13	373	36	71.385622	652.8654	74.7543
14	374	36	73.231092	667.6526	76.2553
15	375	36	77.278168	617.355	78.9838
16	376	36	72.849458	643.7216	75.6151
17	377	36	71.688672	621.0433	74.9573
18	378	36	70.848492	605.3147	74.4892
19	379	36	71.029486	473.6658	73.9212
20	380	36	68.074644	441.0195	71.5353
21	381	36	65.747638	430.5461	69.6696
22	382	36	63.434426	428.4225	68.0948
23	383	36	61.807152	425.8924	66.9662
0	384	37	60.206212	424.8606	65.8316
1	385	37	58.925878	423.6151	64.9065
2	386	37	57.969494	423.6127	64.2049
3	387	37	56.891472	422.2458	63.4029
4	388	37	56.409518	425.5676	63.0406
5	389	37	58.396272	421.8127	64.519
6	390	37	58.474438	421.0177	64.5765
7	391	37	61.246614	425.1642	66.5718
8	392	37	63.204944	433.9032	67.937
9	393	37	61.010862	469.2655	66.405
10	394	37	62.983822	568.4717	67.7846
11	395	37	68.255638	566.5284	71.5894
12	396	37	68.072972	603.5844	71.5008
13	397	37	68.827044	643.4868	72.1414
14	398	37	72.29519	650.3109	75.062
15	399	37	73.384498	564.5514	76.2023
16	400	37	70.371972	446.4422	73.6206
17	401	37	65.293272	505.9201	69.3934
18	402	37	64.53293	438.2853	68.8429
19	403	37	58.335244	437.5383	64.4744
20	404	37	59.663648	432.8469	65.4416
21	405	37	58.151324	422.0009	64.3391
22	406	37	57.684836	421.627	63.9942
23	407	37	55.64416	421.0313	62.4606
0	408	38	57.394744	418.9198	63.7787
1	409	38	55.938432	420.065	62.6843
2	410	38	56.51778	417.4135	63.1224
3	411	38	55.822646	417.234	62.5965
4	412	38	54.090454	416.3852	61.2641
5	413	38	53.745186	415.9208	60.9946
6	414	38	53.388214	413.3106	60.7149
7	415	38	51.964506	422.1318	59.5853
8	416	38	53.666184	434.3157	60.9329
9	417	38	53.537858	472.5266	60.8323
10	418	38	56.876842	595.1033	63.3922
11	419	38	65.319606	578.1369	69.3716
12	420	38	65.463816	631.8489	69.6262
13	421	38	72.588626	643.8459	74.9646
14	422	38	73.642404	671.0045	76.2955
15	423	38	78.102046	656.211	79.4547
16	424	38	76.298794	644.3516	78.6652
17	425	38	74.848334	628.9842	77.3429
18	426	38	71.91481	539.3559	75.2287
19	427	38	70.69843	461.7493	74.1099
20	428	38	68.116862	432.2336	71.8898
21	429	38	63.522206	427.4148	68.2513
22	430	38	59.689146	423.7732	65.4599
23	431	38	57.77178	424.5021	64.0588
0	432	39	59.37899	424.7455	65.2358
1	433	39	61.22028	423.3672	66.553
2	434	39	59.664484	423.0544	65.4422
3	435	39	58.753244	423.7469	64.7805
4	436	39	58.024252	424.307	64.2452
5	437	39	61.2161	421.1584	66.5502
6	438	39	62.299556	420.3629	67.3104
7	439	39	64.38663	418.8513	68.7437
8	440	39	58.946778	438.4299	64.9218
9	441	39	65.088034	451.252	69.2166
10	442	39	63.768408	534.9032	68.3234
11	443	39	66.845306	555.0984	70.4364
12	444	39	67.949662	615.2306	71.3909
13	445	39	71.935292	619.4567	74.615
14	446	39	74.184132	718.0381	76.5357
15	447	39	79.863916	673.0058	80.9099
16	448	39	79.040456	649.7181	80.1965
17	449	39	78.465706	453.1018	79.69
18	450	39	70.123262	415.2972	72.9291
19	451	39	61.440566	429.3075	66.7086
20	452	39	57.401432	427.4667	63.7839
21	453	39	57.401432	422.5818	63.7839
22	454	39	57.401432	422.5818	63.7839
23	455	39	57.401432	422.5818	63.7839
