y1,y2,y3,y4,y5,y6,y7,y8,y9
8,SEDAN,SP,56,M,Casado,19343,"0,77",0
8,SEDAN,SP,58,F,Casado,24277,"0,77",0
5,SEDAN,SP,39,F,Casado,50281,"0,01",0
0,SEDAN,SP,56,M,Casado,45325,"0,82",0
9,STATION WAGON,SP,72,F,Divorciado,17033,"0,08",0
10,HATCH,RJ,36,F,Casado,41840,"0,76",0
10,HATCH,SP,73,M,Casado,16248,"0,79",0
10,HATCH,SC,58,M,Casado,76062,"0,27",0
10,SUV,SC,74,M,Casado,62101,"0,78",0
10,SEDAN,SP,51,F,Casado,16529,"0,81",0
4,MONOVOLUME,SP,37,M,Casado,19390,"0,81",0
10,SUV,SP,67,M,Casado,54810,"0,76",0
2,SEDAN,SP,33,M,Casado,32796,"0,76",0
10,HATCH,SP,71,F,Solteiro,31153,"0,79",0
9,SEDAN,SP,35,M,Casado,25417,"0,18",0
10,SEDAN,SP,70,F,Viuvo,75025,"0,53",0
3,HATCH,SP,40,F,Casado,15376,"0,07",0
9,SEDAN,MG,76,F,Solteiro,27631,"0,84",0
9,SUV,BA,51,M,Casado,70144,"0,39",0
10,HATCH,SP,53,M,Casado,8390,"0,73",0
3,SUV,SP,39,F,Casado,49688,"0,26",0
1,PICAPE PESADA,GO,54,M,Casado,41356,"0,76",0
10,HATCH,SP,48,M,Solteiro,8211,"0,78",0
10,HATCH,SP,64,M,Casado,45129,"0,76",0
10,STATION WAGON,SP,47,M,Casado,31470,"0,78",0
8,HATCH,SP,49,F,Solteiro,36792,"0,19",0
6,HATCH,SP,50,M,Casado,13361,"0,77",0
10,HATCH,PR,60,F,Casado,42900,"0,78",0
0,HATCH,PE,26,M,Casado,32972,"0,66",0
10,MONOVOLUME,SP,71,F,Viuvo,38956,"0,76",0
6,SEDAN,SP,68,F,Viuvo,48628,"0,58",1
3,PICAPE PESADA,SP,39,M,Casado,114249,"0,07",0
10,SEDAN,SP,45,F,Casado,33803,"0,80",0
5,PICAPE LEVE,SP,59,M,Casado,21300,"0,80",0
10,SEDAN,SP,32,M,Casado,18011,"0,81",0
2,PICAPE LEVE,SP,30,M,Casado,27886,"0,78",0
4,HATCH,SP,59,M,Casado,10131,"0,81",0
1,HATCH,PE,33,M,Solteiro,19869,"0,82",0
2,MONOVOLUME,SP,59,F,Casado,26131,"0,77",0
10,SEDAN,BA,46,M,Casado,25069,"0,78",0
10,MONOVOLUME,SP,64,M,Casado,55456,"0,76",0
10,STATION WAGON,SP,74,F,Divorciado,26272,"0,77",1
3,SEDAN,AM,32,M,Casado,43799,"0,78",1
0,HATCH,RJ,37,M,Casado,25713,"0,02",0
5,HATCH,SP,59,M,Casado,17620,"0,11",0
9,SUV,SP,33,M,Casado,35340,"0,79",0
10,SEDAN,SP,62,M,Casado,11941,"0,76",0
7,HATCH,CE,33,F,Casado,32092,"0,78",0
10,SEDAN,SP,74,M,Casado,27627,"0,78",0
4,PICAPE LEVE,PR,64,M,Casado,33856,"0,83",0
1,SUV,SP,29,M,Solteiro,35183,"0,78",0
9,MONOVOLUME,SP,72,M,Casado,21335,"0,81",0
9,HATCH,SP,61,M,Casado,23546,"0,81",1
2,SUV,SC,30,F,Casado,28028,"0,02",0
