y1,y2,y3,y4,y5,y6,y7,y8,y9
10,SUV,SP,48,M,Casado,66357,"0,05",1
7,PICAPE PESADA,RJ,70,M,Casado,99481,"0,62",0
8,HATCH,SP,31,F,Casado,8781,"0,78",0
0,HATCH,PR,30,M,Solteiro,28378,"0,05",0
2,SEDAN,SP,58,M,Casado,40411,"0,78",0
1,HATCH,MG,61,M,Casado,42200,"0,81",0
10,SUV,SC,64,M,Casado,67902,"0,76",0
10,CAMIONETA LEVE,SP,48,M,Casado,22126,"0,79",0
10,MONOVOLUME,SP,44,F,Casado,61618,"0,77",0
4,HATCH,SP,77,M,Casado,39818,"0,77",0
0,MONOVOLUME,SP,51,M,Casado,30284,"0,80",0
1,SEDAN,SP,43,M,Casado,23758,"0,01",0
10,SEDAN,SP,51,M,Casado,11419,"0,80",0
8,SUV,SP,50,M,Casado,66560,"0,01",0
8,SEDAN,SP,51,F,Casado,49863,"0,81",0
10,HATCH,SP,46,M,Casado,36049,"0,76",0
10,SEDAN,RS,68,M,Casado,103994,"0,31",0
3,SUV,SP,32,F,Casado,45846,"0,59",0
0,HATCH,SP,57,F,Casado,22767,"0,77",0
8,HATCH,SP,36,F,Casado,17186,"0,79",0
3,SEDAN,RJ,35,F,Casado,32436,"0,34",0
3,HATCH,RJ,32,M,Casado,13664,"0,76",0
10,HATCH,SP,65,F,Viuvo,28344,"0,77",0
10,HATCH,SP,67,F,Casado,21587,"0,82",0
10,CAMIONETA LEVE,SP,42,M,Casado,38294,"0,47",0
6,PICAPE LEVE,SP,61,M,Casado,14425,"0,81",0
1,HATCH,SP,30,F,Casado,29861,"0,03",0
7,SUV,RJ,58,M,Divorciado,33644,"0,76",0
9,SUV,SP,54,F,Solteiro,48614,"0,68",0
10,HATCH,SP,59,M,Casado,27405,"0,82",0
10,STATION WAGON,SP,76,M,Casado,21056,"0,84",0
2,STATION WAGON,DF,33,F,Casado,31129,"0,77",0
1,CAMIONETA LEVE,SP,46,M,Solteiro,26287,"0,77",0
7,HATCH,SP,59,F,Divorciado,15952,"0,79",0
10,SUV,PR,46,F,Casado,54222,"0,80",0
10,SEDAN,SP,64,M,Casado,14004,"0,82",0
7,HATCH,SP,63,F,Solteiro,34325,"0,08",0
2,HATCH,SC,46,M,Casado,17094,"0,82",0
10,HATCH,SP,68,M,Casado,23120,"0,78",0
2,SEDAN,MG,60,M,Casado,35139,"0,17",0
10,HATCH,SP,34,F,Casado,22481,"0,83",0
1,SEDAN,BA,38,M,Casado,27322,"0,78",0
1,SEDAN,PR,49,F,Casado,37816,"0,80",0
10,HATCH,SP,56,F,Casado,31654,"0,77",0
10,SUV,SP,47,F,Casado,49688,"0,80",0
10,HATCH,AL,68,F,Solteiro,16469,"0,81",0
9,HATCH,SP,45,M,Solteiro,32576,"0,80",0
9,SEDAN,SP,55,F,Casado,48541,"0,80",0
3,HATCH,SP,53,M,Casado,36292,"0,81",0
10,SUV,SP,42,F,Casado,37211,"0,60",0
10,HATCH,MG,50,F,Solteiro,18719,"0,80",0
1,HATCH,MG,39,M,Casado,43892,"0,83",0
10,HATCH,SP,55,F,Casado,14981,"0,80",0
1,HATCH,SP,25,F,Solteiro,16872,"0,76",1
10,SUV,SP,42,F,Casado,49751,"0,78",0
3,HATCH,SP,29,F,Casado,17339,"0,18",0
10,HATCH,SP,30,F,Solteiro,33464,"0,76",0
10,MONOVOLUME,SP,33,F,Solteiro,41770,"0,82",0
10,MONOVOLUME,SP,43,M,Casado,33804,"0,77",0
1,HATCH,RS,32,F,Casado,30215,"0,80",0
10,HATCH,SP,42,M,Casado,45327,"0,05",0
10,HATCH,SC,59,F,Casado,28022,"0,80",0
2,HATCH,RS,82,M,Casado,24832,"0,80",0
10,MONOVOLUME,RJ,43,F,Casado,57109,"0,02",0
7,PICAPE LEVE,SP,64,M,Casado,16104,"0,78",0
10,HATCH,SP,71,M,Casado,39485,"0,79",0
5,PICAPE PESADA,RJ,47,M,Casado,30398,"0,80",0
10,HATCH,SP,52,F,Viuvo,23492,"0,40",0
4,SEDAN,SC,39,F,Casado,29459,"0,77",0
10,SEDAN,SP,70,F,Casado,36414,"0,34",0
10,SUV,RJ,64,M,Casado,95110,"0,83",0
6,SEDAN,SP,50,F,Casado,26950,"0,84",0
7,HATCH,SP,74,F,Viuvo,37427,"0,80",0
0,HATCH,SP,63,M,Casado,25920,"0,76",0
10,SEDAN,SP,29,F,Solteiro,49357,"0,77",0
10,STATION WAGON,SP,64,F,Solteiro,11136,"0,82",0
9,HATCH,SP,32,M,Solteiro,35844,"0,83",1
2,HATCH,SP,57,F,Casado,27010,"0,76",0
10,SEDAN,SP,72,M,Divorciado,24687,"0,79",0
10,CAMIONETA LEVE,MG,37,F,Casado,24035,"0,78",0
3,HATCH,SC,38,F,Viuvo,33268,"0,82",0
2,HATCH,RJ,43,M,Casado,26930,"0,82",0
10,SEDAN,SC,39,M,Casado,47927,"0,06",0
2,HATCH,SP,56,M,Casado,19171,"0,79",0
6,MONOVOLUME,SP,65,M,Casado,37783,"0,81",0
3,HATCH,PE,33,M,Casado,15497,"0,76",0
6,SEDAN,SP,41,M,Casado,33151,"0,77",0
3,HATCH,SP,61,F,Casado,29201,"0,76",1
2,SUV,PE,55,F,Casado,65815,"0,76",0
10,SUV,PR,46,M,Casado,58746,"0,18",0
0,SEDAN,SP,76,M,Casado,34474,"0,30",0
0,SUV,SP,73,F,Casado,27059,"0,80",2
10,SUV,SP,43,M,Solteiro,84250,"0,57",0
10,SUV,SP,59,F,Casado,23391,"0,82",0
10,SEDAN,SP,71,M,Casado,57412,"0,35",0
5,HATCH,PE,69,F,Casado,27585,"0,79",0
8,SEDAN,PR,69,F,Casado,14687,"0,77",0
3,SEDAN,PR,35,M,Casado,21352,"0,80",0
10,MONOVOLUME,SP,45,M,Casado,19386,"0,82",0
10,SUV,SP,53,M,Casado,42713,"0,78",0
7,HATCH,SP,63,F,Casado,16556,"0,83",0
10,SUV,SC,73,M,Casado,51698,"0,80",0
10,HATCH,SC,50,M,Casado,37020,"0,82",0
1,PICAPE LEVE,SP,63,F,Casado,25057,"0,83",1
10,SUV,SP,55,F,Casado,36520,"0,79",2
4,HATCH,SP,25,M,Solteiro,37701,"0,78",0
2,SEDAN,MG,48,F,Casado,23404,"0,78",0
10,PICAPE LEVE,SP,61,M,Casado,51104,"0,79",0
1,MONOVOLUME,MG,58,M,Casado,33903,"0,15",0
10,SUV,SP,44,F,Casado,54222,"0,81",0
10,HATCH,SP,58,F,Casado,24501,"0,17",0
3,SEDAN,CE,44,F,Casado,21352,"0,75",0
10,SEDAN,BA,63,F,Casado,56852,"0,79",0
0,HATCH,SP,30,F,Solteiro,23372,"0,04",2
10,HATCH,SP,63,F,Solteiro,45460,"0,78",0
10,SEDAN,SP,54,F,Casado,14241,"0,25",0
10,HATCH,SP,65,M,Casado,17900,"0,77",0
10,SEDAN,SP,43,M,Casado,10509,"0,78",0
10,HATCH,SP,34,M,Casado,31679,"0,04",0
10,SUV,SP,39,M,Casado,56907,"0,47",0
4,HATCH,SP,36,F,Casado,17766,"0,80",0
10,HATCH,SP,63,M,Viuvo,7812,"0,83",0
10,SEDAN,SP,38,M,Casado,36730,"0,44",0
10,SEDAN,SP,45,F,Casado,41486,"0,81",0
3,HATCH,SP,60,F,Casado,38552,"0,82",0
6,SEDAN,SP,62,M,Casado,26832,"0,82",0
1,HATCH,RJ,44,M,Casado,31287,"0,79",0
5,MONOVOLUME,SP,50,M,Casado,29851,"0,17",0
10,SUV,SP,59,M,Casado,39356,"0,78",0
0,PICAPE PESADA,MG,45,M,Casado,49473,"0,10",0
3,SEDAN,SP,65,F,Casado,52422,"0,80",0
9,HATCH,SP,57,F,Casado,12732,"0,80",0
1,HATCH,PR,54,M,Casado,20073,"0,77",0
5,SEDAN,SP,66,M,Casado,12043,"0,83",0
0,SEDAN,SP,75,M,Casado,60278,"0,83",0
10,SEDAN,SP,62,F,Casado,18026,"0,50",0
10,SEDAN,SP,57,M,Viuvo,31852,"0,78",1
10,SUV,MG,38,F,Solteiro,24516,"0,79",0
2,SEDAN,CE,37,F,Casado,43752,"0,48",0
9,HATCH,SP,47,F,Casado,37758,"0,76",0
10,HATCH,SP,47,F,Casado,37994,"0,78",0
8,SEDAN,SC,66,M,Viuvo,67854,"0,79",0
10,SEDAN,SP,80,M,Casado,27631,"0,83",0
1,SUV,RS,41,M,Casado,52374,"0,10",0
1,HATCH,SP,22,F,Solteiro,39703,"0,81",0
0,HATCH,SP,64,F,Casado,52130,"0,74",0
10,PICAPE LEVE,SP,61,M,Casado,21908,"0,77",0
2,PICAPE LEVE,SP,57,M,Casado,36205,"0,76",3
10,MONOVOLUME,SP,67,M,Casado,24470,"0,80",0
2,HATCH,RS,40,M,Casado,16872,"0,76",0
7,HATCH,SP,56,F,Casado,22481,"0,77",0
0,CAMIONETA LEVE,SP,44,M,Casado,17809,"0,11",0
2,HATCH,RJ,65,M,Casado,37646,"0,78",0
10,SUV,SP,65,M,Casado,33644,"0,82",0
10,SUV,SP,54,F,Casado,83962,"0,84",0
10,HATCH,SP,40,M,Solteiro,19761,"0,77",0
8,HATCH,SP,50,F,Casado,11505,"0,78",0
8,HATCH,SP,46,M,Casado,7544,"0,82",0
10,HATCH,SP,48,F,Casado,24886,"0,20",0
4,MONOVOLUME,RS,64,M,Casado,31649,"0,76",0
10,SEDAN,SP,60,M,Casado,53965,"0,78",0
8,HATCH,SC,57,M,Casado,30873,"0,77",0
8,PICAPE PESADA,SP,69,M,Casado,103410,"0,02",0
10,MONOVOLUME,SP,71,M,Casado,41770,"0,77",0
10,SUV,SP,26,M,Solteiro,166688,"0,14",0
0,SUV,SP,50,F,Casado,42713,"0,79",0
1,SUV,SP,32,F,Solteiro,54222,"0,83",0
9,SEDAN,SP,64,M,Casado,34312,"0,79",0
8,HATCH,MG,56,M,Casado,6243,"0,80",0
5,SEDAN,RS,72,M,Casado,17588,"0,79",0
10,MONOVOLUME,SP,51,M,Casado,34157,"0,78",0
2,SEDAN,SP,38,M,Divorciado,27611,"0,01",0
10,HATCH,PR,64,F,Casado,10638,"0,80",0
3,HATCH,SP,26,F,Solteiro,28776,"0,57",0
10,SEDAN,SP,77,F,Viuvo,11419,"0,80",0
9,SEDAN,RS,66,F,Solteiro,34028,"0,28",0
9,HATCH,CE,61,M,Casado,19436,"0,82",1
10,STATION WAGON,PR,35,M,Casado,33784,"0,04",0
0,SEDAN,SC,29,M,Casado,60278,"0,82",0
10,MONOVOLUME,SP,49,M,Casado,59238,"0,20",0
10,STATION WAGON,PR,35,M,Casado,33784,"0,49",0
10,HATCH,SP,49,M,Casado,19398,"0,81",0
10,SEDAN,SP,48,M,Casado,33023,"0,82",0
10,SEDAN,MG,54,M,Casado,62889,"0,76",0
3,HATCH,SP,25,F,Solteiro,26016,"0,82",0
5,HATCH,RJ,48,M,Casado,27010,"0,25",0
3,HATCH,PR,34,M,Solteiro,36493,"0,32",0
10,SEDAN,SP,60,M,Casado,65949,"0,77",0
1,HATCH,RJ,68,F,Casado,22593,"0,80",0
10,SUV,SP,61,M,Viuvo,28645,"0,80",1
3,HATCH,SP,40,M,Solteiro,24922,"0,84",0
10,MONOVOLUME,SP,66,M,Casado,39614,"0,78",2
9,SEDAN,SP,59,M,Casado,25066,"0,79",0
10,MONOVOLUME,RS,78,M,Casado,15996,"0,83",0
10,SEDAN,SP,77,F,Divorciado,13299,"0,80",0
10,HATCH,SP,52,F,Casado,23229,"0,78",0
10,HATCH,SP,72,F,Solteiro,17186,"0,84",0
10,HATCH,SP,61,M,Casado,29022,"0,77",0
1,HATCH,SP,56,M,Casado,7070,"0,57",0
1,MONOVOLUME,SP,35,M,Solteiro,18945,"0,83",0
10,SEDAN,SP,55,F,Casado,49394,"0,79",0
2,HATCH,SP,51,M,Casado,18705,"0,80",0
6,STATION WAGON,SP,42,M,Casado,26212,"0,62",0
9,MONOVOLUME,SP,57,F,Casado,32552,"0,82",0
10,MONOVOLUME,SC,58,M,Casado,48851,"0,49",0
1,HATCH,SP,26,F,Solteiro,38307,"0,01",0
10,HATCH,SP,55,F,Casado,34660,"0,04",0
10,HATCH,SP,57,F,Solteiro,8822,"0,77",0
2,PICAPE LEVE,PR,58,F,Casado,38420,"0,81",0
4,PICAPE LEVE,RJ,47,M,Casado,35170,"0,79",1
10,SEDAN,SP,63,F,Casado,65012,"0,77",0
10,SEDAN,SC,63,M,Casado,37527,"0,77",0
2,SEDAN,SP,40,M,Casado,18961,"0,76",0
10,SEDAN,SP,69,M,Casado,44904,"0,78",0
10,SEDAN,SP,60,M,Casado,45766,"0,34",0
10,HATCH,SP,26,M,Casado,17818,"0,13",0
10,HATCH,SP,73,M,Casado,15133,"0,03",0
10,SEDAN,SP,29,M,Solteiro,56234,"0,09",0
5,HATCH,SP,29,F,Solteiro,20556,"0,82",0
2,HATCH,SP,42,M,Casado,19907,"0,82",1
1,SEDAN,PE,34,F,Casado,19608,"0,36",0
5,SEDAN,SP,42,M,Casado,51660,"0,80",0
5,SUV,SC,42,F,Casado,34816,"0,09",0
10,SEDAN,RJ,51,M,Casado,40698,"0,76",0
10,HATCH,PR,43,M,Solteiro,42704,"0,14",0
0,HATCH,PR,42,F,Casado,44487,"0,81",0
10,HATCH,PR,27,M,Solteiro,36292,"0,77",0
0,HATCH,SP,35,F,Solteiro,29929,"0,54",0
10,HATCH,PR,60,F,Casado,26305,"0,78",0
8,SEDAN,DF,38,F,Casado,23815,"0,06",0
4,SUV,RJ,38,M,Casado,36093,"0,78",0
1,HATCH,RN,34,F,Casado,24626,"0,02",0
10,SUV,SP,44,M,Casado,65410,"0,83",0
0,HATCH,SP,61,M,Casado,29884,"0,80",0
9,MONOVOLUME,SP,51,F,Divorciado,53853,"0,81",0
3,HATCH,SP,37,M,Casado,20015,"0,31",0
4,HATCH,RS,70,M,Casado,24433,"0,60",0
10,HATCH,SP,60,F,Casado,14095,"0,79",0
6,SEDAN,SP,74,F,Divorciado,23591,"0,78",0
1,HATCH,SP,66,M,Casado,22694,"0,77",0
1,STATION WAGON,SP,50,F,Solteiro,10145,"0,83",0
1,SEDAN,SP,50,M,Divorciado,45325,"0,14",0
7,PICAPE PESADA,GO,65,M,Casado,83975,"0,38",0
8,HATCH,SP,37,F,Casado,35333,"0,81",0
2,SEDAN,SP,47,M,Solteiro,57967,"0,82",0
1,SUV,SP,71,M,Casado,33208,"0,83",0
10,MONOVOLUME,SP,66,M,Casado,24776,"0,01",0
2,HATCH,SP,50,F,Casado,20776,"0,79",0
10,HATCH,SP,31,M,Solteiro,15165,"0,77",0
0,HATCH,RS,34,M,Solteiro,20745,"0,53",0
5,MONOVOLUME,SP,21,F,Solteiro,25956,"0,76",0
10,HATCH,MG,70,F,Casado,39339,"0,82",0
10,SUV,RS,67,M,Casado,36093,"0,83",0
3,HATCH,SP,62,M,Casado,34325,"0,27",0
4,PICAPE LEVE,SP,40,F,Casado,38707,"0,82",0
10,MONOVOLUME,SP,49,F,Solteiro,29022,"0,74",0
10,MONOVOLUME,BA,79,M,Divorciado,21281,"0,76",0
9,SEDAN,SP,36,M,Solteiro,64054,"0,76",0
0,HATCH,SP,93,F,Solteiro,25433,"0,02",0
0,PICAPE PESADA,SP,59,M,Casado,93867,"0,83",0
10,SEDAN,SP,52,F,Divorciado,16223,"0,18",0
0,HATCH,PE,69,M,Casado,42704,"0,77",0
10,MONOVOLUME,SP,51,F,Casado,28656,"0,80",0
8,HATCH,SP,62,M,Casado,13654,"0,81",0
10,PICAPE PESADA,SC,69,M,Casado,37614,"0,82",0
10,SEDAN,SP,55,M,Casado,63118,"0,82",0
10,SUV,SP,32,M,Casado,84250,"0,04",0
10,SEDAN,PR,54,F,Casado,30910,"0,76",0
1,SEDAN,SP,59,M,Casado,59020,"0,78",0
10,MONOVOLUME,SP,45,F,Casado,33946,"0,76",0
10,HATCH,SP,64,F,Casado,41256,"0,80",0
5,SEDAN,SC,46,M,Casado,43897,"0,79",2
3,HATCH,SP,47,M,Casado,22425,"0,77",0
10,SEDAN,SP,86,M,Viuvo,17613,"0,83",0
1,MONOVOLUME,SP,35,F,Casado,27870,"0,78",1
4,SEDAN,SC,27,M,Solteiro,36150,"0,76",0
8,PICAPE PESADA,SP,62,M,Casado,55242,"0,76",1
9,SEDAN,SP,23,F,Solteiro,18582,"0,59",0
8,SEDAN,SP,49,M,Solteiro,21889,"0,80",0
10,SUV,SP,55,M,Casado,80429,"0,82",0
10,SEDAN,SP,34,F,Solteiro,24958,"0,82",0
10,SUV,SP,59,F,Divorciado,49949,"0,76",1
4,SUV,SP,71,M,Casado,68495,"0,76",0
10,SUV,SP,32,F,Casado,81054,"0,82",0
3,SEDAN,SP,31,M,Casado,32190,"0,16",0
10,SUV,SC,57,M,Casado,140366,"0,33",0
10,MONOVOLUME,SP,79,F,Casado,20865,"0,81",0
10,HATCH,SP,42,M,Casado,18913,"0,83",0
10,SEDAN,SP,71,M,Casado,32254,"0,77",0
10,SEDAN,SP,67,F,Casado,15959,"0,77",0
10,MONOVOLUME,SP,41,F,Casado,61497,"0,52",0
10,MONOVOLUME,SP,59,F,Solteiro,33423,"0,77",0
9,MONOVOLUME,SP,56,F,Casado,43390,"0,78",0
10,SUV,SP,61,F,Casado,36549,"0,84",0
2,SEDAN,SP,64,M,Casado,23568,"0,81",0
9,HATCH,SP,59,M,Casado,18767,"0,80",0
10,HATCH,RS,80,M,Casado,31654,"0,82",1
10,HATCH,SP,40,M,Solteiro,27211,"0,01",0
10,SUV,SP,64,F,Divorciado,96188,"0,84",0
10,HATCH,PR,46,M,Solteiro,31334,"0,41",0
2,HATCH,MG,57,M,Casado,24626,"0,79",0
10,HATCH,SP,51,F,Casado,25020,"0,08",0
2,MONOVOLUME,SC,32,M,Casado,23305,"0,28",0
4,HATCH,SP,39,M,Solteiro,36577,"0,82",0
10,HATCH,SP,52,F,Casado,20030,"0,77",0
2,MONOVOLUME,SP,34,M,Casado,48655,"0,77",0
4,SEDAN,SP,50,M,Casado,17613,"0,80",0
8,SEDAN,RJ,71,M,Casado,49668,"0,77",0
10,SEDAN,SP,52,M,Solteiro,43752,"0,80",0
10,HATCH,SP,42,F,Casado,63224,"0,77",0
0,HATCH,SP,76,M,Casado,28305,"0,01",0
10,SUV,SP,67,M,Casado,125965,"0,77",0
9,HATCH,SP,45,M,Casado,28321,"0,83",0
10,SUV,SC,65,F,Casado,80429,"0,79",0
1,SEDAN,SP,46,F,Casado,46855,"0,76",0
2,HATCH,SP,58,M,Casado,17900,"0,80",0
6,HATCH,SP,68,M,Casado,30623,"0,82",0
10,HATCH,SP,51,M,Casado,26016,"0,01",0
3,SEDAN,RN,57,M,Casado,13961,"0,10",0
8,HATCH,SP,43,F,Solteiro,6247,"0,78",0
8,HATCH,SP,47,F,Casado,23729,"0,79",0
2,SEDAN,PE,39,M,Casado,33023,"0,76",0
0,MONOVOLUME,SP,61,F,Casado,26386,"0,81",0
10,HATCH,SP,47,M,Casado,27023,"0,77",0
10,SUV,SP,57,M,Casado,65815,"0,80",0
3,PICAPE LEVE,SP,33,M,Casado,22722,"0,80",0
7,HATCH,RS,33,M,Solteiro,36534,"0,81",0
10,SEDAN,RS,55,F,Solteiro,14177,"0,82",1
10,HATCH,SP,43,M,Casado,27142,"0,80",0
10,SEDAN,PR,45,F,Casado,42001,"0,82",0
10,SEDAN,PR,55,F,Casado,46329,"0,83",0
6,SUV,SP,65,M,Casado,67162,"0,78",0
3,SUV,SP,32,M,Casado,52524,"0,78",0
10,SUV,MG,49,M,Casado,97808,"0,05",0
10,MONOVOLUME,SP,50,F,Casado,27254,"0,78",0
10,SUV,SP,42,F,Casado,33717,"0,79",0
0,HATCH,PR,40,M,Casado,34706,"0,44",0
9,SEDAN,SP,33,F,Casado,31438,"0,76",0
10,SEDAN,SP,72,M,Viuvo,86726,"0,38",0
0,SEDAN,SP,50,M,Casado,33044,"0,76",0
3,HATCH,PR,62,M,Casado,13654,"0,80",0
4,SUV,RS,35,M,Casado,89909,"0,79",0
1,SEDAN,SP,66,M,Casado,35116,"0,01",0
6,SUV,SP,49,M,Casado,25190,"0,18",0
6,SEDAN,SP,42,M,Casado,20666,"0,72",0
3,HATCH,MG,39,M,Casado,15133,"0,76",0
10,HATCH,SP,42,F,Solteiro,25751,"0,79",0
10,HATCH,PR,49,M,Casado,22975,"0,80",0
10,SEDAN,SP,38,M,Casado,36076,"0,82",0
1,HATCH,SP,53,F,Casado,17339,"0,03",0
10,HATCH,SP,57,F,Casado,16872,"0,76",0
10,SUV,SP,57,F,Casado,58813,"0,83",0
2,PICAPE LEVE,MG,67,M,Casado,21908,"0,02",0
1,PICAPE LEVE,RS,46,M,Casado,32240,"0,77",0
1,SEDAN,SP,45,M,Casado,30572,"0,82",0
10,HATCH,SP,49,F,Divorciado,14263,"0,22",0
10,PICAPE PESADA,MG,66,M,Casado,41912,"0,83",0
8,MONOVOLUME,SP,67,F,Casado,20131,"0,42",0
1,HATCH,SP,38,M,Casado,20908,"0,79",0
10,HATCH,SP,71,F,Viuvo,37771,"0,79",0
10,SEDAN,SP,54,F,Casado,61685,"0,78",0
0,MONOVOLUME,SP,81,F,Casado,45139,"0,82",0
10,SUV,SP,50,F,Casado,63923,"0,83",0
7,HATCH,SP,50,F,Casado,21679,"0,16",0
10,SUV,SP,50,F,Casado,34701,"0,83",0
8,SEDAN,SP,67,M,Casado,36959,"0,34",0
10,SEDAN,SP,46,F,Casado,37662,"0,77",0
10,HATCH,SP,64,M,Viuvo,28670,"0,78",0
10,HATCH,SP,80,M,Casado,36493,"0,80",0
10,HATCH,SP,62,M,Casado,27375,"0,76",0
0,CAMIONETA LEVE,SP,73,M,Casado,22126,"0,78",0
6,HATCH,SP,44,M,Solteiro,21022,"0,82",0
5,PICAPE LEVE,SP,32,M,Casado,18086,"0,77",0
7,SEDAN,SP,38,F,Casado,34572,"0,77",0
7,PICAPE PESADA,SP,43,F,Casado,44379,"0,80",0
10,HATCH,SP,61,M,Casado,17897,"0,78",0
7,HATCH,PR,54,M,Casado,28038,"0,76",0
10,SUV,SP,61,M,Casado,51384,"0,83",0
0,SEDAN,SP,59,M,Divorciado,23734,"0,13",1
10,HATCH,MG,46,F,Casado,21445,"0,77",0
2,SUV,SC,50,M,Casado,89588,"0,07",0
8,SEDAN,SP,58,F,Viuvo,60278,"0,32",0
1,SEDAN,RJ,36,M,Casado,21279,"0,83",0
3,HATCH,DF,56,F,Casado,19280,"0,76",0
10,SUV,SC,75,F,Casado,62627,"0,73",1
10,SUV,PI,67,M,Casado,40905,"0,80",0
9,SUV,SP,60,F,Casado,26734,"0,76",0
10,SUV,SP,35,F,Solteiro,47685,"0,79",0
1,HATCH,SP,64,M,Casado,25854,"0,82",0
7,HATCH,SP,69,F,Casado,30266,"0,56",0
5,MONOVOLUME,SP,46,F,Casado,39614,"0,78",0
3,HATCH,PR,57,F,Casado,17927,"0,09",0
0,HATCH,MG,24,M,Casado,25366,"0,81",0
10,STATION WAGON,SP,37,M,Casado,26685,"0,04",0
9,SEDAN,SP,49,M,Casado,59894,"0,81",0
3,SEDAN,SP,79,M,Viuvo,18357,"0,80",0
9,STATION WAGON,SP,71,M,Casado,39498,"0,82",0
10,SEDAN,SC,41,M,Casado,64766,"0,80",0
2,PICAPE LEVE,SP,61,M,Casado,21908,"0,82",0
10,SEDAN,RS,44,M,Casado,18645,"0,78",0
10,SEDAN,SP,41,M,Casado,57122,"0,78",0
10,HATCH,PR,52,M,Casado,8218,"0,80",0
10,HATCH,SP,53,F,Solteiro,30453,"0,82",0
10,SEDAN,SP,67,M,Casado,75025,"0,80",0
1,SEDAN,SP,46,F,Casado,50657,"0,82",0
10,SEDAN,SP,38,M,Casado,42130,"0,13",0
10,SEDAN,SP,63,F,Casado,29013,"0,70",1
10,SEDAN,SP,74,F,Casado,23591,"0,78",0
9,SEDAN,SP,58,M,Casado,43752,"0,76",1
4,HATCH,SP,39,F,Casado,20556,"0,77",0
3,SEDAN,SP,50,M,Casado,34251,"0,81",0
10,HATCH,SP,29,F,Solteiro,28776,"0,81",0
3,SEDAN,SP,33,M,Solteiro,40714,"0,82",0
10,MONOVOLUME,SP,63,F,Casado,48678,"0,83",0
9,HATCH,SP,39,M,Casado,20073,"0,82",0
4,HATCH,SP,44,M,Casado,22876,"0,01",0
5,MONOVOLUME,SP,67,F,Casado,30836,"0,82",0
10,SEDAN,SP,50,M,Casado,46019,"0,01",0
0,HATCH,MG,36,F,Casado,18019,"0,79",0
2,MONOVOLUME,SP,47,M,Casado,32634,"0,78",0
10,HATCH,SP,77,F,Viuvo,23010,"0,79",0
10,SEDAN,SP,67,M,Casado,31200,"0,76",0
10,SEDAN,SP,49,M,Viuvo,44913,"0,80",0
9,HATCH,SP,49,M,Casado,25023,"0,83",0
0,PICAPE LEVE,SP,47,M,Casado,25884,"0,77",0
7,HATCH,SP,52,M,Casado,24626,"0,79",0
10,SEDAN,SP,68,M,Casado,36998,"0,79",0
2,PICAPE LEVE,SP,49,M,Casado,20963,"0,01",0
1,SEDAN,RJ,42,M,Casado,20882,"0,33",0
10,HATCH,PE,31,F,Solteiro,18691,"0,34",0
10,PICAPE PESADA,RS,63,M,Casado,86618,"0,46",0
0,PICAPE PESADA,MG,69,M,Casado,82022,"0,43",0
4,MONOVOLUME,SP,92,M,Viuvo,44593,"0,79",0
2,SUV,SP,73,M,Casado,83617,"0,81",0
7,HATCH,SP,65,M,Divorciado,12187,"0,35",1
10,SUV,RS,61,M,Casado,140048,"0,03",0
10,HATCH,RS,49,F,Casado,37693,"0,80",0
10,HATCH,SP,66,M,Casado,24455,"0,80",0
10,SEDAN,SP,49,F,Solteiro,29515,"0,83",0
4,SEDAN,GO,54,F,Casado,40001,"0,79",0
9,SUV,SP,63,F,Casado,64613,"0,79",0
3,HATCH,SP,27,F,Solteiro,41982,"0,48",0
10,SEDAN,SC,66,M,Casado,47076,"0,76",1
10,SUV,SP,55,M,Casado,43292,"0,77",0
9,HATCH,CE,51,F,Solteiro,34337,"0,82",0
2,HATCH,PR,37,M,Casado,45387,"0,35",0
10,HATCH,SP,61,M,Casado,25854,"0,81",0
9,MONOVOLUME,SP,67,M,Casado,35810,"0,76",0
3,MONOVOLUME,SP,34,M,Casado,23524,"0,84",0
10,HATCH,SP,46,F,Casado,18559,"0,07",0
10,SEDAN,SP,54,M,Casado,22894,"0,79",0
10,SUV,SP,33,M,Casado,42713,"0,80",0
10,SEDAN,RS,51,M,Solteiro,40156,"0,12",0
10,SEDAN,SP,31,F,Casado,27255,"0,68",0
10,HATCH,SP,47,F,Casado,39959,"0,82",0
10,SEDAN,RS,49,M,Casado,35139,"0,79",0
2,SEDAN,SP,57,M,Casado,15458,"0,83",0
1,MONOVOLUME,SP,46,M,Casado,31201,"0,31",0
0,SEDAN,SP,56,F,Casado,60278,"0,77",0
10,SUV,SP,51,F,Casado,51235,"0,82",0
10,SEDAN,SP,50,M,Divorciado,16592,"0,75",0
10,SEDAN,SP,49,M,Casado,23875,"0,81",0
4,SEDAN,SP,34,F,Casado,37603,"0,26",0
10,SUV,RS,54,F,Casado,28510,"0,82",0
0,HATCH,SP,64,M,Casado,22790,"0,81",0
5,MONOVOLUME,DF,32,F,Casado,39614,"0,77",0
9,MONOVOLUME,SP,37,M,Solteiro,20610,"0,81",0
8,SEDAN,SP,37,F,Casado,17704,"0,82",0
10,HATCH,SP,75,F,Divorciado,24832,"0,77",0
10,STATION WAGON,SP,62,F,Casado,6157,"0,76",0
9,SEDAN,SP,21,M,Solteiro,43752,"0,57",0
7,SEDAN,AM,62,F,Casado,79527,"0,76",0
4,SEDAN,SP,50,M,Casado,36908,"0,77",0
10,SUV,SP,51,M,Casado,35069,"0,77",0
