tipo	idade	sexo	civil	valor	expos	nsinist
suv	48	M	Casado	49.014	0.82	0
hatch	68	M	Casado	23.188	0.78	0
hatch	28	F	Solteiro	15.952	0.83	0
hatch	53	M	Casado	27.014	0.79	0
sedan	57	F	Solteiro	21.352	0.78	2
sedan	54	M	Casado	57.187	0.76	0
suv	44	M	Casado	30.784	0.78	0
sedan	74	M	Casado	67.69	0.78	0
sedan	42	F	Casado	26.413	0.65	0
suv	76	M	Casado	57.457	0.83	0
hatch	66	M	Casado	29.853	0.48	0
sedan	57	M	Casado	35.683	0.79	0
picape	46	F	Casado	34.992	0.81	0
sedan	69	M	Casado	20.028	0.25	0
suv	61	F	Solteiro	55.1	0.34	0
hatch	72	F	Casado	17.013	0.79	0
mono	62	F	Casado	39.762	0.76	0
sedan	66	M	Casado	36.251	0.77	0
suv	57	M	Casado	45.408	0.78	0
hatch	51	F	Solteiro	31.002	0.2	0
wagon	74	M	Casado	31.181	0.77	0
mono	31	F	Casado	26.386	0.83	0
suv	61	F	Casado	77.132	0.81	0
hatch	38	F	Casado	38.858	0.01	0
hatch	66	F	Casado	22.481	0.79	0
sedan	36	M	Casado	59.894	0.81	0
sedan	39	F	Casado	20.102	0.21	0
sedan	48	F	Casado	30.62	0.81	0
sedan	89	M	Casado	12.851	0.78	0
picape	56	M	Casado	38.445	0.8	0
hatch	76	F	Casado	13.471	0.83	0
hatch	53	M	Casado	19.12	0.79	0
sedan	72	F	Casado	75.025	0.83	0
hatch	40	M	Casado	21.022	0.44	2
hatch	67	M	Casado	24.962	0.01	0
mono	65	M	Casado	30.731	0.84	0
hatch	44	F	Solteiro	22.425	0.81	0
sedan	45	F	Casado	11.419	0.81	0
sedan	74	F	Casado	48.299	0.47	0
sedan	63	M	Casado	28.326	0.8	0
hatch	72	M	Casado	9.407	0.78	0
hatch	38	F	Casado	25.673	0.8	0
suv	34	M	Casado	47.685	0.82	0
hatch	66	F	Divorciado	9.116	0.83	0
sedan	67	F	Divorciado	46.538	0.76	0
hatch	42	M	Casado	19.974	0.8	0
suv	67	M	Casado	72.574	0.82	0
suv	57	F	Solteiro	66.445	0.29	2
sedan	64	F	Casado	57.187	0.76	0
sedan	47	M	Casado	32.538	0.81	0
mono	72	F	Viuvo	42.793	0.03	0
hatch	30	M	Solteiro	19.121	0.82	0
suv	43	F	Casado	64.785	0.42	0
sedan	37	M	Casado	72.221	0.82	0
sedan	71	M	Casado	56.078	0.83	0
suv	53	F	Casado	41.494	0.76	0
suv	38	M	Casado	31.455	0.77	0
hatch	61	M	Casado	34.195	0.77	0
sedan	65	M	Casado	15.997	0.77	0
hatch	78	F	Solteiro	6.645	0.78	0
hatch	43	M	Casado	42.704	0.22	0
sedan	49	F	Casado	59.696	0.46	0
picape	49	F	Casado	30.275	0.77	0
sedan	62	F	Casado	28.184	0.41	0
sedan	64	F	Casado	45.94	0.83	0
sedan	47	M	Casado	33.009	0.81	0
hatch	65	F	Divorciado	10.059	0.48	0
sedan	61	M	Casado	48.299	0.83	0
sedan	51	F	Casado	52.865	0.8	0
suv	54	F	Solteiro	49.949	0.83	0
sedan	70	M	Casado	10.554	0.77	0
sedan	61	F	Casado	19.372	0.78	0
hatch	69	F	Casado	9.229	0.81	0
hatch	40	F	Casado	27.506	0.82	0
picape	61	M	Viuvo	40.455	0.13	0
suv	35	F	Casado	66.443	0.14	0
mono	67	F	Casado	45.904	0.78	0
sedan	68	M	Casado	32.436	0.83	0
wagon	36	M	Casado	37.699	0.79	0
sedan	75	M	Casado	17.522	0.77	1
sedan	38	F	Casado	10.152	0.82	0
sedan	56	M	Casado	30.289	0.77	0
sedan	58	M	Casado	60.278	0.81	0
sedan	40	F	Casado	51.929	0.81	1
picape	86	M	Casado	36.205	0.03	0
suv	67	M	Casado	54.993	0.78	0
hatch	41	M	Casado	20.015	0.78	0
hatch	54	M	Casado	36.577	0.8	2
picape	39	M	Casado	78.265	0.54	0
suv	63	M	Casado	58.998	0.77	0
sedan	68	F	Casado	10.729	0.81	0
hatch	39	M	Casado	28.022	0.83	1
sedan	72	M	Casado	54.253	0.82	0
hatch	30	M	Solteiro	17.71	0.83	0
picape	50	F	Casado	32.763	0.83	0
suv	69	F	Casado	72.574	0.79	0
hatch	35	F	Casado	34.679	0.76	0
hatch	47	F	Casado	10.922	0.83	0
hatch	63	M	Casado	46.183	0.79	0
hatch	40	M	Casado	30.536	0.13	0
suv	57	F	Casado	48.875	0.8	0
mono	55	F	Divorciado	43.39	0.76	0
sedan	34	M	Casado	44.904	0.8	0
hatch	61	M	Casado	16.402	0.53	0
sedan	48	F	Solteiro	43.799	0.77	0
sedan	46	M	Casado	50.923	0.82	0
mono	72	F	Casado	45.139	0.81	0
suv	37	F	Casado	43.739	0.79	0
hatch	48	M	Casado	37.701	0.39	0
hatch	51	M	Casado	7.334	0.77	0
hatch	42	M	Casado	23.91	0.8	0
mono	57	M	Casado	30.459	0.16	0
hatch	45	F	Casado	11.74	0.79	0
suv	48	F	Divorciado	34.701	0.76	0
suv	71	F	Casado	64.785	0.81	0
hatch	54	F	Casado	34.325	0.77	0
hatch	55	F	Casado	19.101	0.79	0
suv	52	M	Casado	57.277	0.8	0
suv	48	F	Casado	63.539	0.82	1
mono	44	F	Casado	50.617	0.51	0
hatch	54	M	Casado	46.46	0.58	0
sedan	35	M	Casado	34.572	0.8	0
mono	69	M	Divorciado	32.374	0.82	0
hatch	58	F	Casado	16.469	0.84	0
picape	65	M	Casado	30.248	0.01	0
hatch	39	F	Casado	20.461	0.36	0
hatch	60	F	Casado	23.449	0.82	0
hatch	52	F	Casado	37.948	0.51	0
sedan	80	M	Casado	44.549	0.76	0
suv	66	M	Casado	29.666	0.84	0
sedan	64	F	Divorciado	30.637	0.76	0
hatch	50	F	Casado	36.115	0.81	0
mono	41	F	Casado	23.838	0.15	0
suv	43	M	Casado	47.23	0.41	0
suv	57	F	Casado	62.598	0.8	0
picape	68	F	Solteiro	32.522	0.82	0
suv	58	M	Casado	36.549	0.81	0
suv	41	F	Casado	44.775	0.76	0
mono	51	M	Casado	18.192	0.8	0
suv	46	F	Casado	28.51	0.54	0
hatch	45	M	Solteiro	20.576	0.79	0
hatch	47	M	Casado	11.065	0.81	0
sedan	57	M	Casado	71.278	0.26	0
hatch	63	M	Casado	14.05	0.82	0
suv	42	F	Casado	91.937	0.56	0
sedan	48	M	Casado	27.322	0.5	0
sedan	75	M	Casado	45.325	0.01	0
sedan	54	M	Casado	23.11	0.1	0
sedan	59	F	Casado	24.89	0.82	0
hatch	58	M	Casado	38.888	0.76	0
mono	44	F	Casado	25.956	0.78	2
hatch	51	F	Casado	27.023	0.8	0
hatch	44	F	Casado	21.587	0.76	0
hatch	41	M	Casado	17.915	0.39	0
hatch	44	F	Casado	45.664	0.76	0
hatch	35	M	Casado	37.941	0.77	0
hatch	45	F	Casado	23.314	0.78	0
hatch	55	M	Casado	19.393	0.05	0
hatch	67	F	Casado	30.266	0.19	0
mono	46	M	Casado	25.81	0.78	0
hatch	39	F	Casado	28.022	0.77	0
wagon	37	M	Casado	13.91	0.83	0
picape	61	M	Casado	28.712	0.83	0
hatch	68	M	Casado	19.478	0.79	0
hatch	76	M	Casado	16.402	0.14	0
hatch	39	M	Casado	32.576	0.08	0
hatch	76	M	Casado	38.281	0.8	0
hatch	29	F	Solteiro	34.266	0.81	0
mono	57	F	Casado	20.865	0.82	0
sedan	50	F	Divorciado	24.921	0.01	0
sedan	32	M	Casado	17.613	0.02	0
sedan	48	F	Casado	32.232	0.76	0
suv	72	M	Casado	119.406	0.76	0
suv	50	F	Casado	95.259	0.33	0
suv	32	M	Casado	84.25	0.74	0
hatch	63	F	Divorciado	29.254	0.04	0
sedan	43	M	Casado	23.487	0.84	0
suv	51	F	Casado	33.644	0.02	0
sedan	55	M	Divorciado	23.944	0.82	0
hatch	73	M	Solteiro	31.691	0.01	0
hatch	50	F	Solteiro	25.015	0.81	0
suv	79	M	Casado	72.574	0.78	0
hatch	63	M	Casado	12.301	0.77	0
sedan	68	M	Casado	35.505	0.78	0
picape	52	M	Casado	30.552	0.78	0
picape	72	M	Casado	51.768	0.81	0
sedan	31	F	Casado	22.565	0.15	0
hatch	73	M	Casado	19.121	0.81	0
sedan	40	F	Solteiro	18.176	0.29	0
picape	42	F	Divorciado	61.593	0.8	0
mono	29	F	Casado	24.561	0.76	0
sedan	65	M	Casado	35.992	0.77	0
sedan	45	M	Divorciado	54.521	0.84	0
wagon	46	F	Solteiro	32.519	0.8	0
sedan	41	M	Casado	64.016	0.47	0
picape	46	F	Casado	34.017	0.77	0
suv	49	M	Casado	31.695	0.81	0
picape	79	M	Casado	26.556	0.27	0
mono	55	F	Casado	43.499	0.83	0
suv	38	M	Casado	32.478	0.79	1
hatch	42	F	Casado	23.729	0.46	0
sedan	37	M	Casado	31.224	0.5	0
sedan	68	M	Casado	29.459	0.79	0
hatch	30	M	Casado	27.01	0.81	0
hatch	75	F	Casado	24.832	0.81	0
hatch	56	M	Casado	19.091	0.83	0
sedan	75	M	Casado	44.387	0.6	0
sedan	34	F	Divorciado	38.998	0.82	0
mono	78	F	Casado	20.738	0.8	0
hatch	60	F	Divorciado	21.26	0.76	0
hatch	59	M	Casado	7.812	0.82	0
sedan	63	F	Casado	31.22	0.58	0
hatch	33	F	Solteiro	26.148	0.81	0
sedan	29	M	Casado	34.572	0.82	0
sedan	39	F	Casado	11.817	0.51	0
sedan	51	F	Casado	43.999	0.83	0
hatch	50	M	Casado	39.839	0.07	0
hatch	35	F	Solteiro	31.334	0.56	0
hatch	62	F	Casado	20.989	0.82	0
mono	54	F	Casado	32.274	0.1	0
hatch	31	M	Casado	26.016	0.42	0
sedan	63	M	Casado	22.039	0.01	0
hatch	48	F	Casado	17.186	0.16	0
sedan	53	F	Divorciado	46.855	0.8	0
hatch	34	M	Solteiro	16.068	0.82	0
mono	54	M	Casado	58.57	0.16	0
sedan	42	F	Casado	43.799	0.18	0
hatch	40	M	Casado	26.148	0.77	0
hatch	32	F	Solteiro	11.81	0.01	0
hatch	50	F	Solteiro	15.933	0.78	0
picape	46	M	Casado	34.95	0.42	0
sedan	43	M	Casado	13.299	0.81	0
hatch	78	M	Casado	34.142	0.25	0
sedan	68	M	Casado	35.548	0.81	1
sedan	48	M	Casado	25.844	0.01	0
sedan	60	M	Divorciado	22.42	0.76	0
hatch	47	F	Solteiro	24.551	0.81	0
hatch	50	M	Casado	37.612	0.43	0
hatch	65	M	Casado	32.126	0.47	0
picape	61	M	Casado	25.884	0.64	0
sedan	37	M	Casado	13.786	0.78	0
hatch	40	F	Casado	31.406	0.77	0
suv	61	M	Casado	90.902	0.78	0
hatch	35	M	Casado	22.767	0.79	0
suv	49	F	Casado	35.183	0.81	0
mono	43	F	Solteiro	24.985	0.5	0
picape	51	F	Casado	60.974	0.76	0
hatch	29	F	Casado	18.478	0.79	0
mono	72	F	Viuvo	44.745	0.79	0
suv	57	M	Casado	41.971	0.84	0
sedan	60	M	Casado	25.417	0.78	0
sedan	48	F	Solteiro	23.131	0.78	0
wagon	76	M	Casado	29.401	0.78	0
suv	61	M	Casado	50.751	0.62	0
hatch	58	M	Casado	37.533	0.79	1
hatch	80	M	Casado	23.229	0.72	0
hatch	29	M	Casado	20.923	0.77	0
sedan	32	M	Casado	37.627	0.77	0
picape	33	F	Casado	102.434	0.18	0
mono	46	F	Casado	53.853	0.76	0
sedan	48	M	Casado	29.585	0.18	0
hatch	46	M	Casado	27.375	0.79	0
sedan	62	F	Casado	57.508	0.07	0
sedan	35	M	Casado	45.325	0.83	0
hatch	27	M	Solteiro	31.287	0.81	0
mono	54	M	Casado	17.277	0.76	0
hatch	29	M	Casado	34.142	0.79	0
hatch	30	F	Casado	21.26	0.81	0
mono	45	F	Divorciado	18.944	0.77	0
mono	53	F	Casado	20.345	0.31	0
suv	54	M	Casado	49.851	0.79	0
hatch	54	M	Casado	37.273	0.79	0
sedan	62	M	Casado	77.545	0.81	0
sedan	66	M	Casado	41.454	0.04	0
suv	39	M	Casado	58.932	0.84	0
sedan	36	F	Casado	48.628	0.3	0
suv	59	M	Casado	36.52	0.05	0
sedan	62	M	Casado	48.628	0.83	0
sedan	53	M	Casado	51.825	0.76	0
mono	43	F	Viuvo	30.836	0.79	0
hatch	38	F	Casado	9.969	0.08	0
hatch	61	M	Casado	14.125	0.77	0
suv	65	M	Casado	68.495	0.79	0
hatch	63	M	Casado	25.401	0.8	1
sedan	67	M	Casado	36.466	0.73	0
suv	53	M	Casado	104.113	0.78	0
sedan	63	M	Casado	36.998	0.77	0
suv	57	M	Casado	36.52	0.78	0
mono	54	M	Casado	20.011	0.25	1
hatch	57	M	Casado	32.121	0.47	0
sedan	64	M	Casado	9.822	0.01	0
sedan	63	M	Casado	25.608	0.75	0
sedan	66	F	Casado	16.991	0.75	0
sedan	63	F	Casado	46.538	0.77	0
picape	49	M	Casado	67.773	0.77	0
hatch	34	M	Solteiro	32.865	0.77	0
mono	47	F	Casado	47.235	0.8	0
mono	30	M	Casado	23.391	0.06	0
hatch	40	F	Casado	24.914	0.67	0
mono	36	F	Solteiro	23.524	0.22	0
sedan	31	M	Solteiro	36.251	0.76	1
sedan	55	M	Casado	18.928	0.68	0
sedan	25	F	Solteiro	30.207	0.26	0
wagon	72	M	Casado	33.448	0.8	0
hatch	46	M	Casado	45.05	0.78	0
hatch	53	M	Casado	28.022	0.82	0
suv	48	F	Casado	66.443	0.62	0
sedan	72	M	Casado	18.502	0.01	0
suv	78	M	Casado	14.078	0.8	0
hatch	31	F	Solteiro	16.556	0.64	0
sedan	54	M	Casado	35.959	0.82	0
suv	47	F	Casado	48.066	0.79	0
wagon	69	M	Casado	6.902	0.76	0
suv	75	M	Casado	68.634	0.02	0
sedan	42	M	Casado	77.545	0.06	0
suv	59	M	Casado	74.658	0.84	0
hatch	50	F	Casado	34.706	0.76	0
hatch	43	F	Casado	15.894	0.64	0
sedan	55	F	Casado	59.894	0.77	0
sedan	56	M	Casado	34.253	0.8	0
sedan	43	M	Casado	59.894	0.83	0
sedan	65	F	Casado	75.025	0.81	0
mono	39	M	Casado	26.208	0.82	0
hatch	56	M	Casado	22.37	0.76	0
sedan	62	F	Casado	61.685	0.79	0
hatch	59	F	Solteiro	6.391	0.8	0
sedan	68	M	Casado	15.742	0.4	0
suv	48	F	Casado	33.262	0.83	0
hatch	65	M	Casado	11.899	0.78	0
hatch	57	M	Casado	24.455	0.81	0
hatch	39	F	Solteiro	24.626	0.76	0
hatch	45	F	Casado	23.41	0.79	0
hatch	56	F	Solteiro	37.758	0.81	0
sedan	64	M	Casado	23.154	0.03	0
picape	55	M	Casado	38.045	0.47	0
hatch	62	F	Casado	15.165	0.83	0
sedan	61	M	Casado	12.514	0.82	0
hatch	52	M	Viuvo	29.929	0.79	0
suv	58	M	Casado	44.848	0.01	0
hatch	68	M	Casado	25.293	0.41	0
sedan	49	M	Solteiro	38.328	0.83	0
suv	64	M	Casado	60.313	0.76	0
sedan	53	M	Casado	21.352	0.79	0
wagon	64	F	Solteiro	25.373	0.31	0
hatch	69	M	Viuvo	20.059	0.8	0
sedan	50	F	Casado	71.278	0.04	0
hatch	36	F	Solteiro	17.927	0.83	0
sedan	62	F	Casado	11.295	0.25	0
suv	62	F	Divorciado	115.319	0.77	0
mono	52	F	Casado	25.041	0.83	0
wagon	49	M	Casado	23.824	0.76	0
sedan	62	F	Casado	61.685	0.83	0
hatch	57	M	Casado	34.679	0.79	0
hatch	42	M	Casado	24.198	0.8	0
suv	33	M	Casado	55.263	0.5	0
sedan	76	M	Casado	85.3	0.72	0
sedan	73	F	Casado	46.74	0.78	0
hatch	29	F	Casado	27.01	0.42	0
hatch	43	M	Casado	28.321	0.76	0
mono	38	F	Casado	31.102	0.83	0
suv	54	M	Casado	62.598	0.48	0
picape	61	M	Casado	38.707	0.81	0
sedan	54	M	Solteiro	62.104	0.57	0
mono	63	M	Casado	44.593	0.77	0
hatch	42	F	Solteiro	36.103	0.52	0
wagon	31	F	Casado	24.793	0.79	0
hatch	40	F	Casado	36.103	0.8	0
picape	45	M	Casado	22.184	0.79	0
hatch	65	M	Casado	38.791	0.79	0
sedan	44	M	Casado	35.505	0.04	0
hatch	75	M	Casado	37.288	0.78	0
hatch	45	M	Divorciado	40.832	0.8	0
sedan	80	M	Casado	15.549	0.8	0
suv	46	M	Casado	64.613	0.8	0
hatch	42	F	Casado	25.92	0.81	0
mono	41	F	Casado	30.731	0.09	0
hatch	58	M	Casado	43.05	0.08	0
picape	42	M	Casado	20.699	0.76	0
picape	79	F	Viuvo	21.199	0.78	0
mono	50	M	Casado	27.101	0.72	0
hatch	39	F	Casado	30.719	0.25	0
hatch	69	M	Casado	17.927	0.79	0
mono	30	M	Casado	20.865	0.79	0
picape	62	M	Casado	20.954	0.79	0
picape	45	M	Casado	44.459	0.8	0
hatch	58	M	Casado	43.156	0.82	0
wagon	52	F	Casado	26.189	0.84	0
picape	64	M	Divorciado	15.883	0.8	0
sedan	63	F	Casado	29.506	0.82	0
hatch	31	F	Solteiro	27.64	0.84	0
suv	62	F	Casado	64.394	0.83	0
suv	44	F	Solteiro	54.451	0.79	0
sedan	69	M	Casado	45.171	0.24	0
suv	38	F	Casado	33.929	0.77	0
hatch	57	F	Solteiro	22.868	0.35	0
hatch	36	M	Casado	24.914	0.8	0
mono	51	F	Casado	70.479	0.23	0
hatch	44	M	Casado	19.761	0.77	0
hatch	36	F	Casado	24.929	0.68	0
hatch	61	F	Casado	65.903	0.5	0
suv	65	M	Casado	25.048	0.76	0
picape	57	M	Casado	34.016	0.79	0
picape	45	M	Casado	21.293	0.82	0
hatch	43	M	Casado	23.852	0.39	0
mono	59	M	Casado	43.39	0.16	0
sedan	32	M	Solteiro	31.861	0.79	0
sedan	35	F	Casado	29.672	0.81	0
mono	41	F	Casado	20.865	0.74	0
hatch	67	M	Casado	16.704	0.81	0
picape	60	M	Casado	63.993	0.82	0
picape	69	M	Casado	47.744	0.76	0
mono	42	F	Casado	25.956	0.2	2
picape	66	M	Casado	173.61	0.29	0
suv	57	F	Viuvo	56.907	0.79	0
mono	39	F	Casado	48.021	0.81	0
hatch	71	M	Casado	9.407	0.59	0
mono	63	F	Casado	44.685	0.31	0
sedan	54	M	Casado	48.691	0.81	0
suv	49	M	Casado	50.812	0.19	0
hatch	31	F	Solteiro	38.647	0.77	0
sedan	24	F	Casado	40.714	0.77	0
wagon	50	M	Casado	30.434	0.04	0
hatch	34	M	Casado	22.212	0.81	0
hatch	36	F	Solteiro	22.425	0.82	0
hatch	55	F	Casado	23.492	0.78	0
mono	73	F	Casado	61.497	0.03	0
sedan	57	F	Divorciado	46.538	0.78	0
sedan	60	M	Casado	29.62	0.77	1
hatch	64	F	Divorciado	34.988	0.83	0
hatch	44	M	Casado	34.738	0.77	0
mono	46	M	Casado	17.884	0.82	0
suv	51	F	Casado	37.121	0.33	0
hatch	38	F	Casado	8.091	0.78	0
suv	63	M	Casado	46.295	0.78	0
hatch	33	M	Solteiro	21.984	0.08	0
mono	30	M	Solteiro	38.652	0.13	0
hatch	56	M	Viuvo	28.621	0.65	0
picape	53	M	Casado	32.522	0.82	0
hatch	53	M	Casado	12.679	0.83	0
sedan	73	M	Casado	59.894	0.77	0
hatch	51	F	Casado	13.784	0.82	0
hatch	42	F	Divorciado	38.888	0.81	0
hatch	58	M	Casado	36.103	0.68	0
hatch	32	M	Casado	10.029	0.76	0
sedan	43	M	Casado	26.503	0.77	0
hatch	30	M	Solteiro	23.435	0.79	0
mono	42	F	Casado	43.718	0.8	0
mono	32	F	Casado	26.705	0.32	0
sedan	60	M	Casado	29.644	0.09	0
hatch	31	M	Casado	37.107	0.1	0
sedan	43	M	Casado	49.357	0.81	0
sedan	57	M	Casado	44.243	0.8	0
mono	67	M	Casado	37.177	0.83	0
picape	73	M	Casado	37.847	0.01	0
sedan	48	M	Viuvo	34.674	0.01	0
hatch	83	M	Casado	53.19	0.56	0
sedan	35	F	Divorciado	40.754	0.78	0
hatch	63	M	Casado	28.608	0.8	0
sedan	51	F	Divorciado	24.327	0.02	0
mono	64	M	Casado	33.71	0.79	0
hatch	37	F	Casado	24.199	0.79	0
hatch	30	F	Solteiro	22.127	0.75	0
sedan	61	M	Casado	25.12	0.76	0
hatch	49	F	Viuvo	22.08	0.79	0
mono	36	F	Casado	28.196	0.32	0
suv	48	M	Casado	24.715	0.8	0
mono	49	F	Casado	37.793	0.18	0
sedan	55	F	Casado	70.459	0.83	0
hatch	61	M	Casado	14.125	0.77	0
sedan	48	M	Casado	19.343	0.04	0
picape	60	M	Casado	44.656	0.28	0
sedan	70	M	Casado	27.322	0.69	0
hatch	56	F	Casado	19.078	0.84	2
picape	58	F	Casado	46.134	0.67	0
suv	36	F	Casado	46.691	0.77	0
sedan	70	M	Casado	13.435	0.78	0
hatch	64	M	Casado	33.73	0.76	0
hatch	75	F	Viuvo	26.074	0.78	0
hatch	47	F	Casado	33.411	0.76	0
sedan	64	M	Casado	14.169	0.78	0
hatch	62	F	Divorciado	28.114	0.8	2
sedan	67	M	Casado	44.913	0.76	0
sedan	60	M	Casado	34.425	0.79	0
hatch	32	F	Casado	34.325	0.84	0
sedan	57	M	Casado	46.538	0.07	0
sedan	44	M	Casado	34.572	0.8	0
hatch	26	F	Solteiro	8.474	0.8	0
suv	45	M	Casado	62.167	0.21	0
hatch	81	M	Casado	26.016	0.8	0
sedan	53	M	Casado	17.769	0.8	0
sedan	37	M	Casado	34.253	0.48	0
suv	57	M	Casado	73.716	0.59	0
hatch	51	F	Casado	20.578	0.79	0
hatch	31	F	Casado	20.385	0.81	0
suv	58	M	Casado	68.495	0.8	0
sedan	72	F	Casado	32.408	0.81	0
sedan	62	M	Casado	59.695	0.82	0
hatch	66	M	Casado	34.531	0.79	0
sedan	42	F	Casado	31.224	0.82	0
sedan	42	F	Casado	58.956	0.83	0
sedan	54	M	Casado	19.985	0.65	0
picape	75	M	Casado	30.275	0.78	0
sedan	74	M	Casado	36.193	0.81	0
hatch	35	M	Casado	15.894	0.51	0
sedan	53	M	Casado	20.666	0.77	0
hatch	58	M	Casado	25.433	0.79	0
sedan	39	M	Casado	42.086	0.79	0
mono	62	F	Casado	35.524	0.8	0
suv	39	F	Casado	39.685	0.84	0
suv	43	F	Casado	48.676	0.76	0
sedan	69	M	Casado	65.212	0.07	1
suv	49	M	Casado	22.351	0.22	0
sedan	58	M	Casado	32.375	0.62	0
hatch	81	M	Casado	7.391	0.09	0
mono	42	M	Casado	20.365	0.8	0
sedan	63	M	Casado	50.281	0.78	0
mono	25	F	Solteiro	21.57	0.32	0
suv	40	F	Casado	39.291	0.76	0
suv	41	M	Casado	60.686	0.05	0
hatch	62	F	Casado	65.903	0.17	0
hatch	29	F	Solteiro	23.328	0.82	0
sedan	40	M	Casado	37.241	0.62	0
suv	48	F	Casado	55.701	0.63	0
picape	52	M	Casado	20.456	0.77	0
suv	33	M	Casado	71.31	0.13	1
hatch	54	M	Solteiro	6.51	0.78	0
sedan	28	M	Casado	57.245	0.79	0
sedan	49	M	Casado	50.621	0.04	0
sedan	31	F	Casado	20.278	0.61	0
hatch	51	M	Casado	20.595	0.77	0
sedan	62	M	Casado	65.212	0.81	0
hatch	61	M	Casado	24.993	0.82	0
suv	49	M	Casado	60.809	0.82	0
mono	47	F	Casado	33.01	0.02	0
sedan	52	M	Casado	56.852	0.78	0
suv	42	F	Casado	62.606	0.66	0
suv	47	M	Casado	80.804	0.81	0
hatch	61	M	Casado	39.703	0.81	0
suv	72	F	Casado	52.478	0.82	0
wagon	61	M	Casado	10.398	0.76	0
sedan	40	M	Casado	40.558	0.58	0
wagon	67	M	Casado	30.407	0.76	0
mono	40	F	Casado	31.201	0.79	0
suv	62	F	Casado	68.311	0.81	0
hatch	36	M	Casado	30.536	0.02	0
sedan	80	M	Casado	35.139	0.01	0
mono	64	F	Viuvo	45.139	0.78	0
hatch	69	M	Casado	39.703	0.76	0
sedan	55	M	Casado	66.974	0.78	0
sedan	65	M	Casado	43.56	0.32	0
sedan	47	M	Divorciado	64.467	0.51	0
hatch	41	M	Casado	28.618	0.78	0
suv	33	F	Casado	34.816	0.81	0
suv	43	F	Casado	62.767	0.8	0
hatch	59	M	Casado	16.663	0.8	0
hatch	67	M	Viuvo	23.328	0.76	0
sedan	38	M	Casado	78.842	0.82	0
hatch	45	M	Casado	45.403	0.05	0
suv	58	M	Casado	120.871	0.08	0
suv	43	F	Casado	80.707	0.77	0
sedan	41	F	Solteiro	41.617	0.76	0
hatch	56	F	Casado	49.926	0.52	0
hatch	64	M	Casado	22.067	0.82	0
hatch	47	M	Casado	22.4	0.82	0
suv	53	M	Casado	46.71	0.77	0
sedan	39	F	Casado	45.965	0.77	0
sedan	67	M	Casado	74.088	0.54	0
hatch	53	M	Casado	17.054	0.77	0
sedan	46	M	Casado	23.195	0.78	0
hatch	56	F	Divorciado	28.022	0.81	0
sedan	56	F	Solteiro	43.799	0.82	0
mono	35	M	Casado	32.075	0.04	0
hatch	54	M	Casado	20.539	0.8	0
sedan	58	M	Casado	48.628	0.76	0
hatch	64	M	Casado	28.567	0.76	0
picape	43	M	Casado	18.082	0.83	0
sedan	64	F	Casado	16.463	0.8	0
hatch	39	F	Casado	41.688	0.78	0
picape	39	M	Casado	33.856	0.77	0
mono	58	M	Casado	35.304	0.84	0
suv	73	F	Viuvo	55.701	0.81	0
suv	61	M	Casado	32.478	0.71	0
hatch	42	F	Casado	31.216	0.77	0
picape	45	M	Casado	16.102	0.57	0
sedan	60	F	Casado	56.852	0.21	0
hatch	30	M	Solteiro	20.556	0.02	0
hatch	40	F	Casado	37.106	0.6	0
hatch	57	M	Casado	31.015	0.82	0
sedan	42	M	Casado	59.894	0.77	0
mono	53	M	Casado	21.749	0.62	0
hatch	26	M	Solteiro	22.481	0.79	0
sedan	68	M	Casado	29.18	0.27	0
mono	39	F	Casado	20.61	0.78	0
sedan	28	M	Casado	40.001	0.81	0
picape	53	F	Casado	28.595	0.02	0
sedan	38	M	Casado	53.38	0.78	0
mono	55	F	Casado	48.745	0.06	0
hatch	25	F	Solteiro	34.851	0.83	0
sedan	69	M	Casado	45.325	0.76	0
hatch	44	M	Solteiro	17.186	0.05	0
picape	47	M	Casado	16.104	0.79	0
hatch	59	F	Casado	16.422	0.82	0
sedan	65	M	Casado	57.187	0.8	0
mono	39	M	Casado	50.975	0.84	0
hatch	45	M	Solteiro	18.913	0.8	0
sedan	63	F	Casado	16.592	0.82	0
suv	71	F	Casado	55.263	0.82	1
sedan	37	F	Casado	31.592	0.79	1
suv	37	M	Casado	77.289	0.78	0
hatch	43	F	Casado	39.823	0.81	0
sedan	45	M	Casado	32.965	0.82	0
mono	52	M	Casado	41.958	0.76	0
suv	67	F	Divorciado	44.775	0.79	0
hatch	53	F	Casado	30.873	0.4	0
suv	31	F	Casado	47.462	0.52	0
sedan	54	F	Casado	46.376	0.02	1
hatch	35	M	Casado	24.624	0.02	0
wagon	60	M	Casado	23.234	0.79	0
mono	46	M	Casado	19.357	0.34	0
hatch	49	F	Divorciado	10.806	0.81	0
hatch	51	M	Casado	27.019	0.83	0
hatch	30	F	Solteiro	25.186	0.01	0
picape	38	M	Solteiro	29.868	0.06	0
hatch	37	M	Casado	25.713	0.75	0
suv	46	F	Casado	32.861	0.76	0
hatch	34	M	Casado	29.691	0.8	0
wagon	66	M	Casado	50.709	0.8	0
hatch	63	M	Casado	20.263	0.8	1
mono	80	F	Casado	27.254	0.75	0
hatch	28	F	Casado	36.103	0.77	0
picape	59	F	Casado	43.963	0.77	0
wagon	65	M	Casado	9.891	0.59	0
hatch	68	M	Casado	27.912	0.83	0
sedan	43	M	Casado	79.804	0.79	0
