tipo	idade	sexo	civil	valor	expos	nsinist
wagon	74	F	Divorciado	26.272	0.77	1
sedan	32	M	Casado	43.799	0.78	1
hatch	37	M	Casado	25.713	0.02	0
hatch	59	M	Casado	17.62	0.11	0
suv	33	M	Casado	35.34	0.79	0
sedan	62	M	Casado	11.941	0.76	0
hatch	33	F	Casado	32.092	0.78	0
sedan	74	M	Casado	27.627	0.78	0
picape	64	M	Casado	33.856	0.83	0
suv	29	M	Solteiro	35.183	0.78	0
mono	72	M	Casado	21.335	0.81	0
hatch	61	M	Casado	23.546	0.81	1
suv	30	F	Casado	28.028	0.02	0
sedan	68	F	Casado	57.187	0.8	0
hatch	25	M	Solteiro	41.982	0.02	0
picape	39	M	Casado	35.94	0.81	0
hatch	53	F	Casado	34.266	0.57	0
mono	62	M	Casado	39.299	0.79	0
hatch	58	M	Casado	26.016	0.83	0
suv	56	F	Casado	35.34	0.83	0
hatch	55	F	Solteiro	7.161	0.82	0
hatch	53	M	Casado	37.612	0.03	0
picape	62	F	Casado	27.544	0.77	0
sedan	47	F	Casado	32.538	0.82	0
sedan	70	M	Casado	17.133	0.76	0
sedan	38	M	Casado	75.025	0.82	0
hatch	41	M	Casado	8.189	0.07	0
suv	65	M	Casado	49.751	0.76	0
hatch	79	M	Casado	26.554	0.81	0
hatch	46	F	Casado	28.776	0.81	2
hatch	43	F	Casado	22.067	0.77	0
hatch	74	M	Casado	14.178	0.77	0
hatch	50	M	Casado	20.412	0.08	0
hatch	40	F	Casado	21.628	0.34	0
sedan	55	F	Casado	24.981	0.82	0
sedan	63	F	Casado	52.422	0.8	0
sedan	76	M	Casado	24.511	0.8	0
sedan	82	M	Casado	56.695	0.8	0
mono	51	M	Casado	20.956	0.08	0
picape	38	F	Casado	34.477	0.48	0
hatch	30	F	Casado	26.581	0.79	0
hatch	58	F	Solteiro	27.517	0.81	1
hatch	43	M	Casado	37.885	0.76	0
picape	73	M	Casado	72.071	0.77	0
suv	67	M	Casado	51.819	0.77	0
sedan	68	M	Casado	46.019	0.77	0
sedan	65	F	Casado	24.687	0.81	0
hatch	38	F	Solteiro	24.886	0.83	0
mono	53	M	Casado	40.533	0.13	0
hatch	25	F	Solteiro	33.65	0.63	0
hatch	72	M	Casado	32.161	0.78	0
hatch	28	F	Solteiro	21.26	0.79	0
suv	56	M	Casado	45.17	0.76	0
suv	73	M	Casado	35.069	0.77	0
sedan	45	M	Casado	24.884	0.02	1
