period	repart	corled	gaiola	dia	ovos
1	5	vrm	4	7	9
1	5	vrm	5	7	9
1	5	vrm	6	7	9
1	1	vrd	1	8	7
1	1	vrd	2	8	6
1	1	vrd	3	8	8
1	1	vrd	4	8	9
1	1	vrd	5	8	10
1	1	vrd	6	8	6
1	2	amr	1	8	8
1	2	amr	2	8	8
1	2	amr	3	8	7
1	2	amr	4	8	9
1	2	amr	5	8	7
1	2	amr	6	8	7
1	3	azl	1	8	6
1	3	azl	2	8	8
1	3	azl	3	8	7
1	3	azl	4	8	7
1	3	azl	5	8	6
1	3	azl	6	8	6
1	4	brn	1	8	10
1	4	brn	2	8	10
1	4	brn	3	8	7
1	4	brn	4	8	7
1	4	brn	5	8	9
1	4	brn	6	8	7
1	5	vrm	1	8	9
1	5	vrm	2	8	7
1	5	vrm	3	8	8
1	5	vrm	4	8	9
1	5	vrm	5	8	7
1	5	vrm	6	8	9
1	1	vrd	1	9	8
1	1	vrd	2	9	9
1	1	vrd	3	9	8
1	1	vrd	4	9	8
1	1	vrd	5	9	7
1	1	vrd	6	9	7
1	2	amr	1	9	9
1	2	amr	2	9	6
1	2	amr	3	9	8
1	2	amr	4	9	9
1	2	amr	5	9	8
1	2	amr	6	9	7
1	3	azl	1	9	9
1	3	azl	2	9	8
1	3	azl	3	9	8
1	3	azl	4	9	7
1	3	azl	5	9	6
1	3	azl	6	9	8
1	4	brn	1	9	8
1	4	brn	2	9	6
1	4	brn	3	9	8
1	4	brn	4	9	8
1	4	brn	5	9	7
1	4	brn	6	9	8
1	5	vrm	1	9	10
1	5	vrm	2	9	8
1	5	vrm	3	9	9
1	5	vrm	4	9	5
1	5	vrm	5	9	9
1	5	vrm	6	9	9
1	1	vrd	1	10	7
1	1	vrd	2	10	6
1	1	vrd	3	10	8
1	1	vrd	4	10	9
1	1	vrd	5	10	9
1	1	vrd	6	10	7
1	2	amr	1	10	8
1	2	amr	2	10	8
1	2	amr	3	10	9
1	2	amr	4	10	7
1	2	amr	5	10	7
1	2	amr	6	10	5
1	3	azl	1	10	9
1	3	azl	2	10	7
1	3	azl	3	10	7
1	3	azl	4	10	8
1	3	azl	5	10	9
1	3	azl	6	10	9
1	4	brn	1	10	9
1	4	brn	2	10	7
1	4	brn	3	10	9
1	4	brn	4	10	5
1	4	brn	5	10	10
1	4	brn	6	10	8
1	5	vrm	1	10	9
1	5	vrm	2	10	8
1	5	vrm	3	10	7
1	5	vrm	4	10	9
1	5	vrm	5	10	6
1	5	vrm	6	10	7
1	1	vrd	1	11	9
1	1	vrd	2	11	6
1	1	vrd	3	11	9
1	1	vrd	4	11	9
1	1	vrd	5	11	7
1	1	vrd	6	11	7
1	2	amr	1	11	5
1	2	amr	2	11	8
1	2	amr	3	11	7
1	2	amr	4	11	8
1	2	amr	5	11	8
1	2	amr	6	11	6
1	3	azl	1	11	7
1	3	azl	2	11	6
1	3	azl	3	11	9
1	3	azl	4	11	9
1	3	azl	5	11	5
1	3	azl	6	11	7
1	4	brn	1	11	7
1	4	brn	2	11	8
1	4	brn	3	11	8
1	4	brn	4	11	7
1	4	brn	5	11	9
1	4	brn	6	11	8
1	5	vrm	1	11	8
1	5	vrm	2	11	7
1	5	vrm	3	11	6
1	5	vrm	4	11	7
1	5	vrm	5	11	7
1	5	vrm	6	11	9
1	1	vrd	1	12	8
1	1	vrd	2	12	9
1	1	vrd	3	12	9
1	1	vrd	4	12	8
1	1	vrd	5	12	7
1	1	vrd	6	12	5
1	2	amr	1	12	9
1	2	amr	2	12	8
1	2	amr	3	12	7
1	2	amr	4	12	8
1	2	amr	5	12	8
1	2	amr	6	12	7
1	3	azl	1	12	8
1	3	azl	2	12	7
1	3	azl	3	12	7
1	3	azl	4	12	6
1	3	azl	5	12	7
1	3	azl	6	12	5
1	4	brn	1	12	7
1	4	brn	2	12	8
1	4	brn	3	12	9
1	4	brn	4	12	8
1	4	brn	5	12	9
1	4	brn	6	12	6
1	5	vrm	1	12	9
1	5	vrm	2	12	8
1	5	vrm	3	12	7
1	5	vrm	4	12	10
1	5	vrm	5	12	5
1	5	vrm	6	12	8
1	1	vrd	1	13	10
1	1	vrd	2	13	7
1	1	vrd	3	13	8
1	1	vrd	4	13	9
1	1	vrd	5	13	8
1	1	vrd	6	13	7
1	2	amr	1	13	9
1	2	amr	2	13	8
1	2	amr	3	13	5
1	2	amr	4	13	7
1	2	amr	5	13	6
1	2	amr	6	13	6
1	3	azl	1	13	7
1	3	azl	2	13	9
1	3	azl	3	13	4
1	3	azl	4	13	9
1	3	azl	5	13	7
1	3	azl	6	13	9
1	4	brn	1	13	8
1	4	brn	2	13	5
1	4	brn	3	13	7
1	4	brn	4	13	5
1	4	brn	5	13	7
1	4	brn	6	13	7
1	5	vrm	1	13	10
1	5	vrm	2	13	8
1	5	vrm	3	13	8
1	5	vrm	4	13	7
1	5	vrm	5	13	7
1	5	vrm	6	13	8
1	1	vrd	1	14	6
1	1	vrd	2	14	7
1	1	vrd	3	14	7
1	1	vrd	4	14	8
1	1	vrd	5	14	6
1	1	vrd	6	14	7
1	2	amr	1	14	9
1	2	amr	2	14	8
1	2	amr	3	14	6
1	2	amr	4	14	8
1	2	amr	5	14	8
1	2	amr	6	14	6
1	3	azl	1	14	8
1	3	azl	2	14	8
1	3	azl	3	14	9
1	3	azl	4	14	7
1	3	azl	5	14	8
1	3	azl	6	14	9
1	4	brn	1	14	9
1	4	brn	2	14	8
1	4	brn	3	14	7
1	4	brn	4	14	8
1	4	brn	5	14	10
1	4	brn	6	14	8
1	5	vrm	1	14	9
1	5	vrm	2	14	7
1	5	vrm	3	14	9
1	5	vrm	4	14	7
1	5	vrm	5	14	8
1	5	vrm	6	14	9
2	1	amr	1	1	9
2	1	amr	2	1	7
2	1	amr	3	1	6
2	1	amr	4	1	8
2	1	amr	5	1	7
2	1	amr	6	1	7
2	2	brn	1	1	9
2	2	brn	2	1	9
2	2	brn	3	1	7
2	2	brn	4	1	8
2	2	brn	5	1	6
2	2	brn	6	1	7
2	3	vrm	1	1	7
2	3	vrm	2	1	9
2	3	vrm	3	1	9
2	3	vrm	4	1	6
2	3	vrm	5	1	9
2	3	vrm	6	1	8
2	4	azl	1	1	9
2	4	azl	2	1	9
2	4	azl	3	1	9
2	4	azl	4	1	7
2	4	azl	5	1	10
2	4	azl	6	1	9
2	5	vrd	1	1	9
2	5	vrd	2	1	7
2	5	vrd	3	1	9
2	5	vrd	4	1	9
2	5	vrd	5	1	8
2	5	vrd	6	1	7
2	1	amr	1	2	8
2	1	amr	2	2	7
2	1	amr	3	2	8
2	1	amr	4	2	9
2	1	amr	5	2	8
2	1	amr	6	2	7
2	2	brn	1	2	6
2	2	brn	2	2	10
2	2	brn	3	2	7
2	2	brn	4	2	6
2	2	brn	5	2	10
2	2	brn	6	2	6
2	3	vrm	1	2	9
2	3	vrm	2	2	7
2	3	vrm	3	2	8
2	3	vrm	4	2	8
2	3	vrm	5	2	6
2	3	vrm	6	2	6
2	4	azl	1	2	8
2	4	azl	2	2	7
